kaydasheva_s000001|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.
kaydasheva_s000002|Я ж вам обом казав, щоб ви трохи розкопали дорогу навскоси. Одначе сьогодні не можна жати, а копать можна.|Я ж вам обом казав, щоб ви трохи розкопали дорогу навскоси. Одначе сьогодні не можна жати, а копать можна.
kaydasheva_s000003|На сухому високому лобі набігали густі дрібні зморшки. Кучеряве посічене волосся стирчало на голові, як пух, і блищало сивиною.|На сухому високому лобі набігали густі дрібні зморшки. Кучеряве посічене волосся стирчало на голові, як пух, і блищало сивиною.
kaydasheva_s000004|Кайдашиха не йняла йому віри: вона все думала, що він п'яний. Кайдаш підвів очі й глянув на комин, на шию коло комина, під шиєю була дірка на піч.|Кайдашиха не йняла йому віри: вона все думала, що він п'яний. Кайдаш підвів очі й глянув на комин, на шию коло комина, під шиєю була дірка на піч.
kaydasheva_s000005|Коли хочеш з нами гуляти та до наших дівчат ходить, то став нам могорича, а то ми тобі киями покажемо дорогу з нашої вулиці.|Коли хочеш з нами гуляти та до наших дівчат ходить, то став нам могорича, а то ми тобі киями покажемо дорогу з нашої вулиці.
kaydasheva_s000006|А це, дівко, що таке? — крикнула мати з воза. — Чи ти п'яна, чи твереза, що поперекидала серед двору глиняники?|А це, дівко, що таке? - крикнула мати з воза. - Чи ти п'яна, чи твереза, що поперекидала серед двору глиняники?
kaydasheva_s000007|Карпо вийшов з хати в одній сорочці. Він пішов i став за повіткою під грушею. Свіжий перший сніг укрив гори й долини ніби тонким дорогим полотном. Усе небо було вкрите густими хмарами, неначе молочним туманом.|Карпо вийшов з хати в одній сорочці. Він пішов i став за повіткою під грушею. Свіжий перший сніг укрив гори й долини ніби тонким дорогим полотном. Усе небо було вкрите густими хмарами, неначе молочним туманом.
kaydasheva_s000008|в убогій старій хустці на голові.|в убогій старій хустці на голові.
kaydasheva_s000009|От хто мене вітав! Не так, як Балашиха. I, господи! Не знали, де й посадити мене. Частувала мене матушка i чаєм, i горілкою, i наливкою, — хвалилася Кайдашиха й тим трохи примирилась з Западинцями.|От хто мене вітав! Не так, як Балашиха. I, господи! Не знали, де й посадити мене. Частувала мене матушка i чаєм, i горілкою, i наливкою, - хвалилася Кайдашиха й тим трохи примирилась з Западинцями.
kaydasheva_s000010|Подивись, що твоя невісточка витворяє! — крикнула Кайдашиха, вихопивши з печі мале горня з кашею.|Подивись, що твоя невісточка витворяє! - крикнула Кайдашиха, вихопивши з печі мале горня з кашею.
kaydasheva_s000011|Так, як і возили, — -знехотя сказав Карпо.|Так, як і возили, - -знехотя сказав Карпо.
kaydasheva_s000012|все ніби заквітчало свекрову хату квітками та залило пахощами, Тиждень минув, як одна година.|все ніби заквітчало свекрову хату квітками та залило пахощами, Тиждень минув, як одна година.
kaydasheva_s000013|Старий Кайдаш лежав на лаві догори лицем і важко дихав. Він звечора таки добре випив у шинку й спав як убитий.|Старий Кайдаш лежав на лаві догори лицем і важко дихав. Він звечора таки добре випив у шинку й спав як убитий.
kaydasheva_s000014|Гості й хазяїни почали полуднувать, знов випили по чарці й розговорились. Кайдашиха щебетала, але все крадькома скоса поглядала очима на скриню, що стояла на полу, на жердку, на подушки.|Гості й хазяїни почали полуднувать, знов випили по чарці й розговорились. Кайдашиха щебетала, але все крадькома скоса поглядала очима на скриню, що стояла на полу, на жердку, на подушки.
kaydasheva_s000015|Та коли залежались у скрині. Хочу трохи провітрить, — сказала Мотря, але в неї була зовсім інша думка. Карпо обіцяв для неї найнять музики. Вона сподівалась побачиться з ним у церкві.|Та коли залежались у скрині. Хочу трохи провітрить, - сказала Мотря, але в неї була зовсім інша думка. Карпо обіцяв для неї найнять музики. Вона сподівалась побачиться з ним у церкві.
kaydasheva_s000016|реба солі, треба горшків, треба смоли. Чим ти будеш мазати вози? Настає возовиця. Та треба дечого накупить і к весіллю. Адже ж думаєш женить сина.|реба солі, треба горшків, треба смоли. Чим ти будеш мазати вози? Настає возовиця. Та треба дечого накупить і к весіллю. Адже ж думаєш женить сина.
kaydasheva_s000017|А як я свисну за садком, чи вийдеш?|А як я свисну за садком, чи вийдеш?
kaydasheva_s000018|а Лаврін усе стояв з Мелашкою і не мав сили одійти од неї.|а Лаврін усе стояв з Мелашкою і не мав сили одійти од неї.
